matrix_id,package,area,implementation_evidence,verification_evidence,closure_state
SVE-GOV-03,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-04,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-05,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-06,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-07,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-08,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-GOV-09,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-GOV-11,Package 1,Governance,"Manifest, source notes, evidence-type labels, threshold wording, historical/same-sample separation",test_package_01_truthfulness_and_scope.py; ml_validation_manifest.json; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-AUD-09,Package 1,Audit,"Evidence Library, governed downloads, source lineage, alternate-summary disclosure",PACKAGE_01_FINAL_RECONCILIATION.md; chart coverage test; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-AUD-10,Package 1,Audit,"Evidence Library, governed downloads, source lineage, alternate-summary disclosure",PACKAGE_01_FINAL_RECONCILIATION.md; chart coverage test; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-AUD-15,Package 1,Audit,"Evidence Library, governed downloads, source lineage, alternate-summary disclosure",PACKAGE_01_FINAL_RECONCILIATION.md; chart coverage test; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-01,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-02,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-03,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-04,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-05,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-06,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-07,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-UX-08,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-UX-09,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-10,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,Package 1 evidence recorded at 82c3f66; master row remains PLANNED
SVE-UX-11,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-12,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-13,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-14,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-UX-15,Package 1,UX,"Responsive hero, KPI grid, tabs, controls, chart framing, interpretation cards, empty states, tables",47-segment rendered review; test_package_01_visual_finish.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-SHARED-09,Package 1,Shared components,"Design tokens, render_evidence_chart, detail cards, Plotly layout, export configuration",test_package_01_ml_validation.py; test_streamlit_chart_coverage.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-SHARED-11,Package 1,Shared components,"Design tokens, render_evidence_chart, detail cards, Plotly layout, export configuration",test_package_01_ml_validation.py; test_streamlit_chart_coverage.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-SHARED-13,Package 1,Shared components,"Design tokens, render_evidence_chart, detail cards, Plotly layout, export configuration",test_package_01_ml_validation.py; test_streamlit_chart_coverage.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-SHARED-14,Package 1,Shared components,"Design tokens, render_evidence_chart, detail cards, Plotly layout, export configuration",test_package_01_ml_validation.py; test_streamlit_chart_coverage.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-SHARED-16,Package 1,Shared components,"Design tokens, render_evidence_chart, detail cards, Plotly layout, export configuration",test_package_01_ml_validation.py; test_streamlit_chart_coverage.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-SHARED-17,Package 1,Shared components,"Design tokens, render_evidence_chart, detail cards, Plotly layout, export configuration",test_package_01_ml_validation.py; test_streamlit_chart_coverage.py; committed baseline 82c3f66,VERIFIED for Package 1 scope; committed and pushed at 82c3f66
SVE-SHARED-18,Package 1,Shared components,"Design tokens, render_evidence_chart, detail cards, Plotly layout, export configuration",test_package_01_ml_validation.py; test_streamlit_chart_coverage.py; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-02,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-03,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-05,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-06,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-09,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-10,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-11,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-12,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
SVE-QA-16,Package 1,QA,"Calculation tests, scope tests, syntax checks, whitespace checks, runtime QA, synthetic CLI QA",PACKAGE_01_QA_REPORT.md; focused pytest suite; committed baseline 82c3f66,Package 1 contribution VERIFIED at 82c3f66; phase-wide master row remains IN PROGRESS
